pop	n_intersect_chm13	n_intersect_hg38	total_chm13	total_hg38
ACB	16649	19467	20702	25776
ASW	15133	18809	18960	25078
BEB	13200	14846	16459	18926
CDX	14145	12381	17785	15340
CEU	12724	13725	15440	17229
CHB	12715	12690	15736	15761
CHS	13084	12497	16023	15523
CLM	14017	15374	17544	20085
ESN	16556	18285	20568	24083
FIN	12363	12746	15106	15955
GBR	14066	14512	17473	18571
GIH	13656	12755	16974	15729
GWD	15107	18437	18559	23694
IBS	13602	13722	16695	17076
ITU	14179	15464	17506	20026
JPT	12642	12268	15595	15237
KHV	14385	11993	17961	14747
LWK	15892	18839	19896	25068
MSL	16600	19656	20606	25801
MXL	14331	14045	18067	18210
PEL	12072	11512	14681	14280
PJL	14118	16216	17471	21187
PUR	10943	14013	13356	17695
STU	14306	13758	17661	17254
TSI	13955	14204	17204	17915
YRI	14607	17325	17704	22047
