pop	n_intersect_chm13	n_intersect_hg38	total_chm13	total_hg38
ACB	386	532	403	592
ASW	295	552	312	611
BEB	801	690	863	760
CDX	1000	664	1068	710
CEU	1046	889	1092	965
CHB	1017	727	1081	780
CHS	993	797	1045	850
CLM	504	516	540	613
ESN	546	548	578	619
FIN	857	742	921	828
GBR	1190	1047	1268	1148
GIH	894	573	950	631
GWD	471	704	481	753
IBS	992	776	1051	836
ITU	913	1018	967	1111
JPT	939	706	998	769
KHV	1004	509	1068	560
LWK	212	324	236	388
MSL	612	1029	640	1104
MXL	672	524	730	608
PEL	459	349	501	424
PJL	840	904	889	1010
PUR	330	296	351	342
STU	859	667	902	727
TSI	1139	924	1191	990
YRI	370	566	392	627
