pop	n_intersect_chm13	n_intersect_hg38	total_chm13	total_hg38
ACB	24140	27782	32970	41063
ASW	22429	26779	30524	39520
BEB	18073	20216	23879	27571
CDX	19323	17252	25714	22508
CEU	17115	18626	21802	24947
CHB	17081	17437	22238	22925
CHS	17732	17156	22880	22499
CLM	19920	21924	26742	30925
ESN	23947	26470	32687	38687
FIN	16891	17646	21644	23214
GBR	18839	19652	24635	26887
GIH	18410	17781	24315	23115
GWD	22055	26345	29442	37493
IBS	18264	18692	23729	24772
ITU	19291	20897	25168	29002
JPT	17355	17126	22358	22377
KHV	19489	16742	25806	21708
LWK	23806	27577	32783	40990
MSL	23940	27620	32455	40396
MXL	19952	19839	26611	27352
PEL	17467	16966	22213	22250
PJL	19017	21845	24916	30901
PUR	16163	20345	20968	27598
STU	19289	18822	25227	25125
TSI	18608	19158	24178	25807
YRI	21561	24931	28377	34952
