label,x,y,plot_type,plot_num
CHS,0,151798.826024688,path,6
CHS,50,151798.826024688,path,6
CHS,53.9823748930552,152511.266037284,path,6
CHS,58.281935981887,153192.644066616,path,6
CHS,62.9239463533454,153839.275660049,path,6
CHS,67.9356812359356,154447.444065647,path,6
CHS,73.3465882618674,155092.661540244,path,6
CHS,79.1884604935736,155781.314562984,path,6
CHS,85.4956232313596,156348.564036058,path,6
CHS,92.305135699813,156626.554858966,path,6
CHS,99.6570087980327,156292.801935956,path,6
CHS,107.594440193118,155121.844259292,path,6
CHS,116.164068138266,153340.549395279,path,6
CHS,125.416245506846,151182.712438559,path,6
CHS,135.4053356526,148350.255269095,path,6
CHS,146.190031834372,143889.962482585,path,6
CHS,157.833702082215,138152.976959619,path,6
CHS,170.404761531218,131544.818487686,path,6
CHS,183.977074410797,123723.42592643,path,6
CHS,198.630388051423,113353.627759549,path,6
CHS,214.450801458899,101784.220630354,path,6
CHS,231.531271209409,90258.2235381957,path,6
CHS,249.972157637839,79174.2000185474,path,6
CHS,269.881814528634,67633.432755356,path,6
CHS,291.377225774054,56783.4438924075,path,6
CHS,314.584692740667,47430.9830959253,path,6
CHS,339.640576382865,39703.7981719226,path,6
CHS,366.692098463863,32810.6835653734,path,6
CHS,395.898206591947,27075.4461088143,path,6
CHS,427.430508154694,22675.6496261444,path,6
CHS,461.474278638715,19523.5289364946,path,6
CHS,498.229550259547,17023.7555366255,path,6
CHS,537.912287298182,15028.7933535447,path,6
CHS,580.755655050226,13502.4860925584,path,6
CHS,627.011389843662,12411.6304111036,path,6
CHS,676.951278175122,11679.048815992,path,6
CHS,730.868753655646,11099.6453794698,path,6
CHS,789.080621149182,10491.8491402755,path,6
CHS,851.9289182344,9707.6033384579,path,6
CHS,919.782924927286,8645.73706724329,path,6
CHS,993.041333473111,7438.87801476018,path,6
CHS,1072.1345909569,6007.87247296518,path,6
CHS,1157.52742849695,4650.76606471445,path,6
CHS,1249.72159188233,3551.39816707864,path,6
CHS,1349.25878969875,2753.1246848261,path,6
CHS,1456.72387626536,2229.89594770792,path,6
CHS,1572.74828808442,1942.03065469133,path,6
CHS,1698.01375399568,1870.74369876773,path,6
CHS,1833.25630083518,1986.58166040744,path,6
CHS,1979.2705781348,2250.90034394789,path,6
CHS,2136.91452727334,2641.72897284428,path,6
CHS,2307.1144225137,3117.64619838424,path,6
CHS,2490.87031354618,3620.54033126209,path,6
CHS,2689.26190151663,4258.34538698123,path,6
CHS,2903.45488306563,5057.19149186954,path,6
CHS,3134.70779965441,5994.74788754268,path,6
CHS,3384.37943242257,7011.60505548783,path,6
CHS,3653.9367860276,8093.11451998276,path,6
CHS,3944.96370837734,9298.53556221173,path,6
CHS,4259.17019690246,10595.6401331134,path,6
CHS,4598.40244605032,11929.991001545,path,6
CHS,4964.65369503661,13241.8819657035,path,6
CHS,5360.07593959315,14584.5314209142,path,6
CHS,5786.99257652725,15923.8190119631,path,6
CHS,6247.91205538842,17185.7430630186,path,6
CHS,6745.54261745633,18291.7093819625,path,6
CHS,7282.80820865217,19288.2120248038,path,6
CHS,7862.86565987361,20195.3325582233,path,6
CHS,8489.12323570054,21010.3697937186,path,6
CHS,9165.26066045864,21780.8103480138,path,6
CHS,9895.25073930898,22593.5805609911,path,6
CHS,10683.3827014032,23249.3236316004,path,6
CHS,11534.2874022625,23505.0528103612,path,6
CHS,12452.9645334636,23364.0913718198,path,6
CHS,13444.811999507,23032.3762844051,path,6
CHS,14515.6576344807,22609.6692873032,path,6
CHS,15671.7934448755,22129.0193376562,path,6
CHS,16920.0125797559,21447.5424523764,path,6
CHS,18267.6492455118,20712.3913333421,path,6
CHS,19722.6217997211,20062.9583818961,path,6
CHS,21293.4792773297,19422.1695691861,path,6
CHS,22989.4516225263,18862.1083254264,path,6
CHS,24820.5039214594,18469.5201164464,path,6
CHS,26797.3949544553,18132.2815659015,path,6
CHS,28931.7404117735,17911.0500309653,path,6
CHS,31236.0811443382,17928.2202219186,path,6
CHS,33723.9568504711,18271.7490585735,path,6
CHS,36409.9856315869,18789.8091938984,path,6
CHS,39309.9498843016,19319.3648104004,path,6
CHS,42440.8890336316,19966.7307349893,path,6
CHS,45821.199652161,20697.4248346187,path,6
CHS,49470.7435534497,21399.7361742809,path,6
CHS,53410.9644948103,22059.7209641029,path,6
CHS,57665.0141751702,22786.8355110032,path,6
CHS,62257.8882683475,23418.4043045326,path,6
CHS,67216.5732910375,23763.6087905429,path,6
CHS,72570.2051684661,23724.0837961909,path,6
CHS,78350.2404294013,23450.636174311,path,6
CHS,84590.641036419,22947.6767601366,path,6
CHS,91328.0739374365,22216.3428411352,path,6
CHS,98602.1265110271,21266.0582168413,path,6
