label,x,y,plot_type,plot_num
CDX,0,53689.7562308267,path,3
CDX,50,53689.7562308267,path,3
CDX,53.9586427924501,55029.7581169346,path,3
CDX,58.2307026400646,56250.5219827418,path,3
CDX,62.8409936661725,57282.2585461712,path,3
CDX,67.8162945991125,58052.3994232735,path,3
CDX,73.1855043156215,58661.8070265719,path,3
CDX,78.9798096990388,59209.3384342794,path,3
CDX,85.2328667873224,59606.3949578461,path,3
CDX,91.9809962630723,59762.8942542556,path,3
CDX,99.2633944210561,59601.2805489175,path,3
CDX,107.122360838637,59167.3092185546,path,3
CDX,115.603544071519,58559.3343159404,path,3
CDX,124.756206801927,57874.1201555954,path,3
CDX,134.633511979325,57017.3450432614,path,3
CDX,145.292831615709,55851.7414264924,path,3
CDX,156.796080029113,54440.6842477019,path,3
CDX,169.210073470946,52846.8084354085,path,3
CDX,182.606918226061,50905.3803295036,path,3
CDX,197.064429439803,48509.0263297179,path,3
CDX,212.666583104807,45853.5160270884,path,3
CDX,229.504003832863,43111.6331812374,path,3
CDX,247.674491245091,40163.3010820312,path,3
CDX,267.283588037914,36959.243207045,path,3
CDX,288.445193024444,33794.2858055111,path,3
CDX,311.282222712106,30886.2795361776,path,3
CDX,335.927325259249,28208.0406475874,path,3
CDX,362.52365095774,25663.4061158667,path,3
CDX,391.225683716871,23348.5254070165,path,3
CDX,422.200138378214,21324.9369293427,path,3
CDX,455.626929073462,19616.5765222901,path,3
CDX,491.700214249919,18128.4278870336,path,3
CDX,530.629524433651,16743.1208176713,path,3
CDX,572.640979280861,15374.0484335837,path,3
CDX,617.978600986696,14035.506913905,path,3
CDX,666.905731680384,12766.8347402138,path,3
CDX,719.706563039589,11516.791139257,path,3
CDX,776.687787008703,10254.9863317403,path,3
CDX,838.180377209223,8900.98967782938,path,3
CDX,904.541511389472,7533.14857486375,path,3
CDX,976.156646080149,6350.47498463604,path,3
CDX,1053.4417555063,5387.58251042653,path,3
CDX,1136.84574776032,4463.42540109171,path,3
CDX,1226.8530722703,3653.77358330655,path,3
CDX,1323.98653370906,3008.16546385068,path,3
CDX,1428.81032868843,2535.3404334961,path,3
CDX,1541.93332287724,2226.55306693696,path,3
CDX,1664.01258757818,2073.8615428644,path,3
CDX,1795.75721630543,2084.55593323506,path,3
CDX,1937.93244353178,2254.80146884647,path,3
CDX,2091.36408952863,2552.90798090345,path,3
CDX,2256.94335711666,2938.96686386844,path,3
CDX,2435.63200818902,3352.81835902174,path,3
CDX,2628.46795007459,3870.04904981582,path,3
CDX,2836.57126418956,4528.88515684655,path,3
CDX,3061.15071199467,5316.45881727839,path,3
CDX,3303.51075604749,6195.97429869109,path,3
CDX,3565.05913693167,7203.873907888,path,3
CDX,3847.31505007313,8376.81968745692,path,3
CDX,4151.91796993826,9693.37287435964,path,3
CDX,4480.63717286907,11106.5576512488,path,3
CDX,4835.38201386832,12602.2819919222,path,3
CDX,5218.21301702717,14295.4615778975,path,3
CDX,5631.35384401365,16088.7791747312,path,3
CDX,6077.20421014047,17806.053601932,path,3
CDX,6558.35382303487,19208.9587475741,path,3
CDX,7077.59742487276,20441.2524511166,path,3
CDX,7637.95102554948,21636.0008054435,path,3
CDX,8242.66942107705,22595.4844423952,path,3
CDX,8895.26509896297,23096.7502164597,path,3
CDX,9599.52864038183,23094.0501619587,path,3
CDX,10359.5507376452,22968.6218633516,path,3
CDX,11179.7459548572,22780.1628399819,path,3
CDX,12064.8783697695,22565.1593645668,path,3
CDX,13020.089245775,22279.064355431,path,3
CDX,14050.9268947719,21888.7401548242,path,3
CDX,15163.3789043566,21482.0134878305,path,3
CDX,16363.906916535,21113.7286423831,path,3
CDX,17659.4841599643,20730.4186340641,path,3
CDX,19057.6359537289,20398.2115254634,path,3
CDX,20566.4834179163,20184.267208494,path,3
CDX,22194.7906448839,20020.4859115757,path,3
CDX,23952.01560521,19902.3741811607,path,3
CDX,25848.3650840144,19852.7230371577,path,3
CDX,27894.8539667434,19830.2921729187,path,3
CDX,30103.3692187814,19816.117836496,path,3
CDX,32486.7389305093,19812.6629050206,path,3
CDX,35058.8068288587,19835.6984938165,path,3
CDX,37834.5126881579,19881.8839086095,path,3
CDX,40829.9791073347,19936.3442454528,path,3
CDX,44062.6051575174,19996.2286204276,path,3
CDX,47551.1674439851,20075.8418650956,path,3
CDX,51315.9291694795,20187.4034218732,path,3
CDX,55378.7578323723,20459.1638270044,path,3
CDX,59763.2522433316,20987.6938338287,path,3
CDX,64494.8795982604,21477.3772510476,path,3
CDX,69601.1234036922,21615.0272923682,path,3
CDX,75111.6431138614,21502.0579968215,path,3
CDX,81058.4464066968,21227.4176348829,path,3
CDX,87476.0750993983,20777.0268460419,path,3
CDX,94401.8057834796,20142.5729227559,path,3
