label,x,y,plot_type,plot_num
GWD,0,107452.908878085,path,12
GWD,50,107452.908878085,path,12
GWD,53.9823890225788,108013.742313689,path,12
GWD,58.2819664917008,108530.381565009,path,12
GWD,62.9239957631179,108992.699684344,path,12
GWD,67.9357523627947,109392.31249443,path,12
GWD,73.3466842517993,109795.959941044,path,12
GWD,79.1885848559377,110174.532349668,path,12
GWD,85.4957798768145,110434.343819849,path,12
GWD,92.3053289819794,110474.166266711,path,12
GWD,99.6572435592466,110154.651981749,path,12
GWD,107.594721814663,109530.746313639,path,12
GWD,116.164402595506,108707.421562561,path,12
GWD,125.416639429721,107705.186306185,path,12
GWD,135.405796391994,106070.831332536,path,12
GWD,146.190567534894,103838.515089292,path,12
GWD,157.834321762005,101153.755990318,path,12
GWD,170.405475169429,97883.0219908628,path,12
GWD,183.97789304347,93335.1781667965,path,12
GWD,198.63132387654,87996.9392684664,path,12
GWD,214.451867951465,82399.6129427036,path,12
GWD,231.532483247494,76517.8928805092,path,12
GWD,249.973531640598,69975.8064296705,path,12
GWD,269.883368607414,63488.9533600334,path,12
GWD,291.378979897789,57604.0978410889,path,12
GWD,314.586668916893,52126.4445898678,path,12
GWD,339.642798855779,46893.657878624,path,12
GWD,366.694593931003,42435.5411872164,path,12
GWD,395.9010044412,39082.1014114844,path,12
GWD,427.433640723491,36348.6435963356,path,12
GWD,461.477781497454,34009.6058666302,path,12
GWD,498.233462521444,32314.3650191061,path,12
GWD,537.916651957981,31448.0158839745,path,12
GWD,580.760519354377,30978.0190160223,path,12
GWD,627.016805694858,30637.5585255426,path,12
GWD,676.957302574291,30375.8361658054,path,12
GWD,730.87544918482,30153.0402249815,path,12
GWD,789.08805649894,29994.6409922513,path,12
GWD,851.93716877993,29859.3876307334,path,12
GWD,919.792073357451,29687.7895726138,path,12
GWD,993.051470477326,29361.5246431121,path,12
GWD,1072.14581597502,28702.3216250899,path,12
GWD,1157.53985053787,28004.2987869915,path,12
GWD,1249.73533041747,27585.4615515498,path,12
GWD,1349.27397563714,27635.051588324,path,12
GWD,1456.74065301771,27910.8299171659,path,12
GWD,1572.76681272415,28226.7924947725,path,12
GWD,1698.03419852553,28402.2913885261,path,12
GWD,1833.27885356896,28024.9209806466,path,12
GWD,1979.29544520454,27401.9705364571,path,12
GWD,2136.941934273,26811.1433163648,path,12
GWD,2307.14461629174,26174.4605532915,path,12
GWD,2490.90356416018,25513.6381042483,path,12
GWD,2689.29850436446,24848.642446543,path,12
GWD,2903.49516120884,24197.5806835127,path,12
GWD,3134.75210635102,23576.7321250908,path,12
GWD,3384.42815388778,23000.6989452879,path,12
GWD,3653.99034444277,22482.655142658,path,12
GWD,3945.02256516913,22034.6767838938,path,12
GWD,4259.23485631624,21668.141801124,path,12
GWD,4598.47345904381,21394.1941109505,path,12
GWD,4964.73166352214,21224.274407815,path,12
GWD,5360.16152105934,21172.6743767615,path,12
GWD,5787.08648907367,21651.1813600826,path,12
GWD,6248.01508320969,22828.0111827441,path,12
GWD,6745.65561681532,24518.2087894767,path,12
GWD,7282.93211438537,26503.1301672002,path,12
GWD,7863.00149247568,28487.0155484298,path,12
GWD,8489.2721090388,30080.9586480957,path,12
GWD,9165.42379017322,30830.8085250406,path,12
GWD,9895.4294519586,30788.2737063794,path,12
GWD,10683.5784444223,30607.6476344196,path,12
GWD,11534.5017548008,30328.8481191606,path,12
GWD,12453.1992181855,29981.5614302037,path,12
GWD,13445.0688954353,29594.837774716,path,12
GWD,14515.9387909752,29028.7505013316,path,12
GWD,15672.1010968474,28216.9667485466,path,12
GWD,16920.349164224,27294.4945290937,path,12
GWD,18268.0174196201,26351.2685265478,path,12
GWD,19723.0244603436,25284.513120373,path,12
GWD,21293.9195824021,24159.7821889267,path,12
GWD,22989.9330142548,23008.4438130054,path,12
GWD,24821.0301515707,21830.4051831596,path,12
GWD,26797.9701116649,20772.1834516589,path,12
GWD,28932.3689516667,19820.9529455903,path,12
GWD,31236.7679218731,19090.7176395167,path,12
GWD,33724.7071553313,18531.9761290951,path,12
GWD,36410.8052266329,18150.5224190401,path,12
GWD,39310.8450473888,17861.7554988207,path,12
GWD,42441.8666030892,17631.4883195962,path,12
GWD,45822.2670762472,17446.663224385,path,12
GWD,49471.9089441296,17305.8483764125,path,12
GWD,53412.2366862321,17199.6784521021,path,12
GWD,57666.4027872448,17178.7040335476,path,12
GWD,62259.4037758754,17292.4284989119,path,12
GWD,67218.2270988624,17450.8673835353,path,12
GWD,72572.0096931768,17670.0158487958,path,12
GWD,78352.2091881488,18007.1821415303,path,12
GWD,84592.7887434625,18663.8675910316,path,12
GWD,91330.4166090884,19701.1848319574,path,12
GWD,98604.6815797201,21075.7016174554,path,12
