label,x,y,plot_type,plot_num
ESN,0,65303.2580774218,path,8
ESN,50,65303.2580774218,path,8
ESN,53.9918486777744,65742.2336779539,path,8
ESN,58.3023944728738,66144.9367820769,path,8
ESN,62.9570811986262,66500.7411702027,path,8
ESN,67.9833840254116,66798.8955351269,path,8
ESN,73.4109716580609,67062.8926430988,path,8
ESN,79.2718814610082,67321.637479442,path,8
ESN,85.6007085649045,67529.782508933,path,8
ESN,92.4348100709317,67640.2622591595,path,8
ESN,99.8145255581713,67539.5976120238,path,8
ESN,107.783415195613,67065.4636902635,path,8
ESN,116.388516864305,66321.3765676733,path,8
ESN,125.680623807363,65425.1856200861,path,8
ESN,135.714584446708,64403.4465757373,path,8
ESN,146.549626136274,62934.4957219249,path,8
ESN,158.249704762683,61081.025494142,path,8
ESN,170.883882256985,58963.7916697712,path,8
ESN,184.526734245795,56638.6614931881,path,8
ESN,199.258790248057,53744.7285078758,path,8
ESN,215.167009015789,50452.9907592664,path,8
ESN,232.345291824596,47042.3707912183,path,8
ESN,250.895036743738,43713.9891627265,path,8
ESN,270.925737157451,40165.157505846,path,8
ESN,292.555628070392,36581.9121119324,path,8
ESN,315.912384012157,33304.3467144097,path,8
ESN,341.133872660387,30558.8455196294,path,8
ESN,368.368968630855,28094.8623044411,path,8
ESN,397.778432238099,25847.5157600944,path,8
ESN,429.535858413635,24009.2954731635,path,8
ESN,463.828701382938,22718.2827894355,path,8
ESN,500.859381149524,21795.8475284897,path,8
ESN,540.846478317377,20987.3229072667,path,8
ESN,584.02602430438,20396.1015463835,path,8
ESN,630.652894562485,20118.1446618082,path,8
ESN,681.002313028362,20304.5533008596,path,8
ESN,735.371476684833,21010.5139641596,path,8
ESN,794.08130982238,22053.4711079805,path,8
ESN,857.478358355577,23224.4431952974,path,8
ESN,925.936835376014,24405.1794594497,path,8
ESN,999.860830015981,25867.1209665751,path,8
ESN,1079.68669266113,27511.2394110273,path,8
ESN,1165.88561059133,29161.1940876911,path,8
ESN,1258.96638925284,30693.6836485992,path,8
ESN,1359.47845557886,32440.8464143631,path,8
ESN,1468.01510108617,34137.2791696749,path,8
ESN,1585.21698389064,35328.921750158,path,8
ESN,1711.77591031323,35547.5370456144,path,8
ESN,1848.43891839783,35162.6826088768,path,8
ESN,1996.01268744489,34472.5477872521,path,8
ESN,2155.36829958885,33542.6939056281,path,8
ESN,2327.44638152546,32439.1860988842,path,8
ESN,2513.26265673912,31225.0894489835,path,8
ESN,2713.9139410032,29958.0432404913,path,8
ESN,2930.58461654294,28688.8727380945,path,8
ESN,3164.553623076,27461.1102461829,path,8
ESN,3417.20200699644,26311.253852638,path,8
ESN,3690.02107326277,25269.5856921195,path,8
ESN,3984.62118810804,24361.3920187634,path,8
ESN,4302.74128453166,23608.4655041987,path,8
ESN,4646.25912668092,23030.8187883798,path,8
ESN,5017.20239370969,22648.5933334185,path,8
ESN,5417.76064853882,22484.2085675251,path,8
ESN,5850.29826216617,22672.3083655132,path,8
ESN,6317.36836981445,23367.0318521414,path,8
ESN,6821.7279412956,24448.9604061166,path,8
ESN,7366.35405454755,25786.3751826998,path,8
ESN,7954.46146840082,27221.8268938982,path,8
ESN,8589.52159830168,28560.468474969,path,8
ESN,9275.28300699958,29573.6387497554,path,8
ESN,10015.7935311491,30445.4595864931,path,8
ESN,10815.4241744326,31331.7933351007,path,8
ESN,11678.8949082382,32114.1566167861,path,8
ESN,12611.3025321845,32663.2908567812,path,8
ESN,13618.1507589468,32841.7741947988,path,8
ESN,14705.3827009635,32093.6928568255,path,8
ESN,15879.4159507836,30513.5261865696,path,8
ESN,17147.180462123,28680.2187072277,path,8
ESN,18516.1594552286,26965.5731762998,path,8
ESN,19994.4335880049,25017.3545063005,path,8
ESN,21590.7286536274,23172.819357248,path,8
ESN,23314.4670861908,21602.2552292724,path,8
ESN,25175.8235784113,20262.1540609739,path,8
ESN,27185.7851396785,19255.971442399,path,8
ESN,29356.2159489602,18507.2554550339,path,8
ESN,31699.9273853665,17987.1578937172,path,8
ESN,34230.7536497429,17635.1674828525,path,8
ESN,36963.6334236619,17395.7022594804,path,8
ESN,39914.6980478215,17261.1374976474,path,8
ESN,43101.3667403407,17213.4187491869,path,8
ESN,46542.4494169947,17275.1503724242,path,8
ESN,50258.2577203069,17388.6668498933,path,8
ESN,54270.7249128679,17587.3740176097,path,8
ESN,58603.5353425737,17821.2872381761,path,8
ESN,63282.2642439769,18087.458653035,path,8
ESN,68334.5287009546,18293.7205989929,path,8
ESN,73790.1506617795,18469.8505474896,path,8
ESN,79681.3329688195,18773.0109728014,path,8
ESN,86042.8494419171,19442.7234126878,path,8
ESN,92912.2501374503,20489.9227237494,path,8
ESN,100330.082994655,21863.276103658,path,8
