label,x,y,plot_type,plot_num
FIN,0,31861.5599821511,path,9
FIN,50,31861.5599821511,path,9
FIN,53.960475183256,32648.280938397,path,9
FIN,58.2346576400557,33325.3620489326,path,9
FIN,62.8473959678326,33840.6709632726,path,9
FIN,67.8255070090899,34141.3620545422,path,9
FIN,73.1979317551149,34189.5798351482,path,9
FIN,78.9959035987508,34095.912897316,path,9
FIN,85.2531299143855,33912.7238967525,path,9
FIN,92.0059880208019,33660.3303639019,path,9
FIN,99.2937366661485,33358.9966734133,path,9
FIN,107.158744264529,32929.0860840437,path,9
FIN,115.6467352111,32184.8774931505,path,9
FIN,124.807055707663,31215.428720848,path,9
FIN,134.692960644172,30118.4577293924,path,9
FIN,145.361923203982,28979.9245374733,path,9
FIN,156.875968992776,27638.8555752953,path,9
FIN,169.302036633679,26079.8190883054,path,9
FIN,182.712366924926,24447.5066894008,path,9
FIN,197.184922822529,22860.926308963,path,9
FIN,212.803842689546,21369.7715151221,path,9
FIN,229.659929447015,19822.0742547108,path,9
FIN,247.85117847028,18321.9121448832,path,9
FIN,267.483347299726,16984.767555162,path,9
FIN,288.670570478022,15893.1568301522,path,9
FIN,311.536023088313,14993.0688012661,path,9
FIN,336.212636850943,14160.0223404222,path,9
FIN,362.843872941847,13453.6078816754,path,9
FIN,391.5845560255,12924.1567028995,path,9
FIN,422.601774351206,12612.5443144676,path,9
FIN,456.075851145564,12441.9002909637,path,9
FIN,492.201392948451,12326.8879760744,path,9
FIN,531.188420987178,12216.2379655288,path,9
FIN,573.263592166231,12060.7246259362,path,9
FIN,618.671516771002,11791.9296298864,path,9
FIN,667.676180546179,11345.238956776,path,9
FIN,720.562479416264,10812.8285440625,path,9
FIN,777.637875770534,10191.7431084586,path,9
FIN,839.234185941516,9420.30079725348,path,9
FIN,905.709509268744,8569.20956502533,path,9
FIN,977.4503099627,7699.80816756172,path,9
FIN,1054.87366387216,6859.39244981552,path,9
FIN,1138.42968321688,6080.81033302992,path,9
FIN,1228.60413338213,5384.07103373976,path,9
FIN,1325.92125698824,4779.00052277928,path,9
FIN,1430.94682165331,4268.19059872374,path,9
FIN,1544.29140916765,3849.76675653766,path,9
FIN,1666.61396520213,3519.75450688542,path,9
FIN,1798.62563018715,3274.01849519366,path,9
FIN,1941.09387363363,3109.88363226071,path,9
FIN,2094.84695593155,3027.64436567929,path,9
FIN,2260.77874356528,3058.69878850516,path,9
FIN,2439.85390573974,3316.96986165796,path,9
FIN,2633.11352262878,3773.55790406502,path,9
FIN,2841.68113785012,4369.93477528264,path,9
FIN,3066.76929035376,5012.21451057192,path,9
FIN,3309.68656369812,5808.58955841311,path,9
FIN,3571.84519369576,6823.40487794257,path,9
FIN,3854.76927865704,8038.28350736178,path,9
FIN,4160.10363996301,9438.20099410066,path,9
FIN,4489.62338447994,11193.7674744196,path,9
FIN,4845.24422440791,13263.5780487814,path,9
FIN,5229.03361455954,15465.2365506252,path,9
FIN,5643.22277181703,17500.1727692715,path,9
FIN,6090.21964664436,19585.3254434621,path,9
FIN,6572.62292206661,21756.9834312348,path,9
FIN,7093.2371215015,23748.4595278476,path,9
FIN,7655.08891327463,25213.3482864304,path,9
FIN,8261.44470660747,25912.3559081626,path,9
FIN,8915.82964137468,26419.7273295963,path,9
FIN,9622.04808203072,26817.35941167,path,9
FIN,10384.2057348503,27067.3999328788,path,9
FIN,11206.7335170643,27125.1743327844,path,9
FIN,12094.4133166582,26710.9312533889,path,9
FIN,13052.4057925915,25905.3309128694,path,9
FIN,14086.2803770584,24983.0578929071,path,9
FIN,15202.0476542129,24141.6396891429,path,9
FIN,16406.1943035966,23204.801010656,path,9
FIN,17705.720811418,22274.361550758,path,9
FIN,19108.1821689236,21502.9941496601,path,9
FIN,20621.7317944667,20776.8942835315,path,9
FIN,22255.1689346216,20191.8998511473,path,9
FIN,24017.9898199163,19953.0806103817,path,9
FIN,25920.4428725858,19857.7858200954,path,9
FIN,27973.5882873034,19803.6416169931,path,9
FIN,30189.3623312731,19796.8727848928,path,9
FIN,32580.6467374997,19806.1875240317,path,9
FIN,35161.3435946656,19815.0687969818,path,9
FIN,37946.4561689978,19790.9870331806,path,9
FIN,40952.1761279943,19692.5159957917,path,9
FIN,44195.9776730993,19616.2293122124,path,9
FIN,47696.7191285802,19637.287850871,path,9
FIN,51474.7525772096,19726.4416136877,path,9
FIN,55552.0421801352,19859.9906723263,path,9
FIN,59952.2918688075,20226.2489653163,path,9
FIN,64701.0831513221,20859.81959035,path,9
FIN,69826.023834334,21294.5087078111,path,9
FIN,75356.9085251603,21174.2947019223,path,9
FIN,81325.8918471761,20619.3061342709,path,9
FIN,87767.6753755141,19707.7576329428,path,9
FIN,94719.7093798498,18523.4269131887,path,9
