pop1	pop2	n.overlap	n.total
ACB	ACB	5042	5042
ACB	ASW	2374	4661
ACB	BEB	2634	6130
ACB	CDX	2707	6479
ACB	CEU	2648	6415
ACB	CHB	2322	6379
ACB	CHS	2468	6345
ACB	CLM	2380	5469
ACB	ESN	3094	5357
ACB	FIN	2438	5970
ACB	GBR	2815	6856
ACB	GIH	2688	6338
ACB	GWD	2946	5022
ACB	IBS	2659	6441
ACB	ITU	2718	6437
ACB	JPT	2534	6143
ACB	KHV	2751	6531
ACB	LWK	2249	4363
ACB	MSL	3108	5450
ACB	MXL	2368	5839
ACB	PEL	1930	4989
ACB	PJL	2684	6357
ACB	PUR	2030	4617
ACB	STU	2668	6359
ACB	TSI	2798	6749
ACB	YRI	2823	4805
ASW	ACB	2374	4661
ASW	ASW	4280	4280
ASW	BEB	2319	5749
ASW	CDX	2352	6098
ASW	CEU	2409	6034
ASW	CHB	2040	5998
ASW	CHS	2189	5964
ASW	CLM	2195	5088
ASW	ESN	2322	4976
ASW	FIN	2163	5589
ASW	GBR	2482	6475
ASW	GIH	2370	5957
ASW	GWD	2300	4641
ASW	IBS	2390	6060
ASW	ITU	2391	6056
ASW	JPT	2160	5762
ASW	KHV	2353	6150
ASW	LWK	1828	3982
ASW	MSL	2417	5069
ASW	MXL	2139	5458
ASW	PEL	1730	4608
ASW	PJL	2445	5976
ASW	PUR	1888	4236
ASW	STU	2305	5978
ASW	TSI	2503	6368
ASW	YRI	2195	4424
BEB	ACB	2634	6130
BEB	ASW	2319	5749
BEB	BEB	7218	7218
BEB	CDX	4292	7567
BEB	CEU	4230	7503
BEB	CHB	3812	7467
BEB	CHS	3999	7433
BEB	CLM	3521	6557
BEB	ESN	2618	6445
BEB	FIN	3833	7058
BEB	GBR	4558	7944
BEB	GIH	4839	7426
BEB	GWD	2667	6110
BEB	IBS	4285	7529
BEB	ITU	4662	7525
BEB	JPT	3999	7231
BEB	KHV	4203	7619
BEB	LWK	1927	5451
BEB	MSL	2777	6538
BEB	MXL	3633	6927
BEB	PEL	2798	6077
BEB	PJL	4737	7445
BEB	PUR	2883	5705
BEB	STU	4588	7447
BEB	TSI	4483	7837
BEB	YRI	2356	5893
CDX	ACB	2707	6479
CDX	ASW	2352	6098
CDX	BEB	4292	7567
CDX	CDX	7916	7916
CDX	CEU	4099	7852
CDX	CHB	4513	7816
CDX	CHS	4825	7782
CDX	CLM	3370	6906
CDX	ESN	2713	6794
CDX	FIN	3731	7407
CDX	GBR	4414	8293
CDX	GIH	4318	7775
CDX	GWD	2738	6459
CDX	IBS	4128	7878
CDX	ITU	4321	7874
