pop1	pop2	n.overlap	n.total
CDX	JPT	4544	7580
CDX	KHV	5188	7968
CDX	LWK	1961	5800
CDX	MSL	2931	6887
CDX	MXL	3568	7276
CDX	PEL	2818	6426
CDX	PJL	4318	7794
CDX	PUR	2664	6054
CDX	STU	4217	7796
CDX	TSI	4321	8186
CDX	YRI	2444	6242
CEU	ACB	2648	6415
CEU	ASW	2409	6034
CEU	BEB	4230	7503
CEU	CDX	4099	7852
CEU	CEU	7788	7788
CEU	CHB	3980	7752
CEU	CHS	4033	7718
CEU	CLM	3743	6842
CEU	ESN	2693	6730
CEU	FIN	4558	7343
CEU	GBR	5518	8229
CEU	GIH	4485	7711
CEU	GWD	2644	6395
CEU	IBS	5136	7814
CEU	ITU	4600	7810
CEU	JPT	3936	7516
CEU	KHV	4173	7904
CEU	LWK	1879	5736
CEU	MSL	2868	6823
CEU	MXL	3852	7212
CEU	PEL	2930	6362
CEU	PJL	4613	7730
CEU	PUR	2910	5990
CEU	STU	4481	7732
CEU	TSI	5365	8122
CEU	YRI	2363	6178
CHB	ACB	2322	6379
CHB	ASW	2040	5998
CHB	BEB	3812	7467
CHB	CDX	4513	7816
CHB	CEU	3980	7752
CHB	CHB	7716	7716
CHB	CHS	4744	7682
CHB	CLM	3024	6806
CHB	ESN	2390	6694
CHB	FIN	3478	7307
CHB	GBR	4202	8193
CHB	GIH	3929	7675
CHB	GWD	2316	6359
CHB	IBS	4001	7778
CHB	ITU	4097	7774
CHB	JPT	4403	7480
CHB	KHV	4685	7868
CHB	LWK	1712	5700
CHB	MSL	2561	6787
CHB	MXL	3347	7176
CHB	PEL	2620	6326
CHB	PJL	4024	7694
CHB	PUR	2341	5954
CHB	STU	4037	7696
CHB	TSI	4168	8086
CHB	YRI	2115	6142
CHS	ACB	2468	6345
CHS	ASW	2189	5964
CHS	BEB	3999	7433
CHS	CDX	4825	7782
CHS	CEU	4033	7718
CHS	CHB	4744	7682
CHS	CHS	7648	7648
CHS	CLM	3229	6772
CHS	ESN	2519	6660
CHS	FIN	3619	7273
CHS	GBR	4315	8159
CHS	GIH	4047	7641
CHS	GWD	2524	6325
CHS	IBS	4031	7744
CHS	ITU	4195	7740
CHS	JPT	4590	7446
CHS	KHV	5008	7834
CHS	LWK	1827	5666
CHS	MSL	2758	6753
CHS	MXL	3490	7142
CHS	PEL	2768	6292
CHS	PJL	4151	7660
CHS	PUR	2498	5920
CHS	STU	4033	7662
CHS	TSI	4304	8052
CHS	YRI	2298	6108
CLM	ACB	2380	5469
CLM	ASW	2195	5088
CLM	BEB	3521	6557
CLM	CDX	3370	6906
CLM	CEU	3743	6842
CLM	CHB	3024	6806
CLM	CHS	3229	6772
CLM	CLM	5896	5896
CLM	ESN	2446	5784
CLM	FIN	3403	6397
CLM	GBR	3967	7283
CLM	GIH	3610	6765
CLM	GWD	2413	5449
CLM	IBS	3847	6868
CLM	ITU	3599	6864
CLM	JPT	3168	6570
CLM	KHV	3400	6958
CLM	LWK	1766	4790
CLM	MSL	2510	5877
CLM	MXL	3394	6266
CLM	PEL	2706	5416
CLM	PJL	3686	6784
CLM	PUR	2744	5044
CLM	STU	3570	6786
CLM	TSI	3909	7176
CLM	YRI	2103	5232
ESN	ACB	3094	5357
ESN	ASW	2322	4976
ESN	BEB	2618	6445
ESN	CDX	2713	6794
ESN	CEU	2693	6730
ESN	CHB	2390	6694
ESN	CHS	2519	6660
ESN	CLM	2446	5784
ESN	ESN	5672	5672
ESN	FIN	2370	6285
ESN	GBR	2835	7171
ESN	GIH	2728	6653
ESN	GWD	3099	5337
ESN	IBS	2741	6756
ESN	ITU	2780	6752
ESN	JPT	2518	6458
ESN	KHV	2734	6846
ESN	LWK	2323	4678
ESN	MSL	3348	5765
ESN	MXL	2300	6154
ESN	PEL	1968	5304
ESN	PJL	2708	6672
ESN	PUR	1952	4932
ESN	STU	2648	6674
ESN	TSI	2838	7064
ESN	YRI	3128	5120
FIN	ACB	2438	5970
FIN	ASW	2163	5589
FIN	BEB	3833	7058
FIN	CDX	3731	7407
FIN	CEU	4558	7343
FIN	CHB	3478	7307
FIN	CHS	3619	7273
FIN	CLM	3403	6397
FIN	ESN	2370	6285
FIN	FIN	6898	6898
FIN	GBR	4839	7784
FIN	GIH	4002	7266
FIN	GWD	2375	5950
FIN	IBS	4425	7369
FIN	ITU	4034	7365
FIN	JPT	3659	7071
FIN	KHV	3706	7459
FIN	LWK	1697	5291
FIN	MSL	2513	6378
FIN	MXL	3529	6767
FIN	PEL	2712	5917
FIN	PJL	4153	7285
FIN	PUR	2733	5545
FIN	STU	3911	7287
FIN	TSI	4637	7677
FIN	YRI	2145	5733
GBR	ACB	2815	6856
GBR	ASW	2482	6475
GBR	BEB	4558	7944
GBR	CDX	4414	8293
GBR	CEU	5518	8229
GBR	CHB	4202	8193
GBR	CHS	4315	8159
GBR	CLM	3967	7283
GBR	ESN	2835	7171
GBR	FIN	4839	7784
GBR	GBR	8670	8670
GBR	GIH	4834	8152
GBR	GWD	2844	6836
GBR	IBS	5476	8255
GBR	ITU	4909	8251
GBR	JPT	4211	7957
GBR	KHV	4504	8345
GBR	LWK	1981	6177
GBR	MSL	3010	7264
GBR	MXL	4066	7653
GBR	PEL	3107	6803
GBR	PJL	4899	8171
GBR	PUR	3087	6431
GBR	STU	4770	8173
GBR	TSI	5716	8563
GBR	YRI	2496	6619
GIH	ACB	2688	6338
GIH	ASW	2370	5957
GIH	BEB	4839	7426
GIH	CDX	4318	7775
GIH	CEU	4485	7711
GIH	CHB	3929	7675
GIH	CHS	4047	7641
GIH	CLM	3610	6765
GIH	ESN	2728	6653
GIH	FIN	4002	7266
GIH	GBR	4834	8152
GIH	GIH	7634	7634
GIH	GWD	2722	6318
GIH	IBS	4469	7737
GIH	ITU	4834	7733
GIH	JPT	4111	7439
GIH	KHV	4279	7827
GIH	LWK	1952	5659
GIH	MSL	2843	6746
GIH	MXL	3750	7135
GIH	PEL	2888	6285
GIH	PJL	4907	7653
GIH	PUR	2888	5913
GIH	STU	4795	7655
GIH	TSI	4748	8045
GIH	YRI	2394	6101
GWD	ACB	2946	5022
GWD	ASW	2300	4641
GWD	BEB	2667	6110
GWD	CDX	2738	6459
GWD	CEU	2644	6395
GWD	CHB	2316	6359
GWD	CHS	2524	6325
GWD	CLM	2413	5449
GWD	ESN	3099	5337
GWD	FIN	2375	5950
GWD	GBR	2844	6836
GWD	GIH	2722	6318
GWD	GWD	5002	5002
GWD	IBS	2676	6421
GWD	ITU	2739	6417
GWD	JPT	2533	6123
GWD	KHV	2718	6511
GWD	LWK	2247	4343
GWD	MSL	3308	5430
GWD	MXL	2323	5819
GWD	PEL	1991	4969
GWD	PJL	2698	6337
GWD	PUR	2032	4597
GWD	STU	2629	6339
GWD	TSI	2795	6729
GWD	YRI	2801	4785
IBS	ACB	2659	6441
IBS	ASW	2390	6060
IBS	BEB	4285	7529
IBS	CDX	4128	7878
IBS	CEU	5136	7814
IBS	CHB	4001	7778
IBS	CHS	4031	7744
IBS	CLM	3847	6868
IBS	ESN	2741	6756
IBS	FIN	4425	7369
IBS	GBR	5476	8255
IBS	GIH	4469	7737
IBS	GWD	2676	6421
IBS	IBS	7840	7840
IBS	ITU	4601	7836
IBS	JPT	4007	7542
IBS	KHV	4204	7930
IBS	LWK	1885	5762
IBS	MSL	2877	6849
IBS	MXL	3923	7238
IBS	PEL	2959	6388
IBS	PJL	4575	7756
IBS	PUR	2999	6016
IBS	STU	4462	7758
IBS	TSI	5373	8148
IBS	YRI	2400	6204
ITU	ACB	2718	6437
ITU	ASW	2391	6056
ITU	BEB	4662	7525
ITU	CDX	4321	7874
ITU	CEU	4600	7810
ITU	CHB	4097	7774
ITU	CHS	4195	7740
ITU	CLM	3599	6864
ITU	ESN	2780	6752
ITU	FIN	4034	7365
ITU	GBR	4909	8251
ITU	GIH	4834	7733
ITU	GWD	2739	6417
ITU	IBS	4601	7836
ITU	ITU	7832	7832
ITU	JPT	4157	7538
ITU	KHV	4355	7926
ITU	LWK	1930	5758
ITU	MSL	2923	6845
ITU	MXL	3779	7234
ITU	PEL	2932	6384
ITU	PJL	4969	7752
ITU	PUR	2825	6012
ITU	STU	4996	7754
ITU	TSI	4894	8144
ITU	YRI	2431	6200
JPT	ACB	2534	6143
JPT	ASW	2160	5762
JPT	BEB	3999	7231
JPT	CDX	4544	7580
JPT	CEU	3936	7516
JPT	CHB	4403	7480
JPT	CHS	4590	7446
JPT	CLM	3168	6570
JPT	ESN	2518	6458
JPT	FIN	3659	7071
JPT	GBR	4211	7957
JPT	GIH	4111	7439
JPT	GWD	2533	6123
JPT	IBS	4007	7542
JPT	ITU	4157	7538
JPT	JPT	7244	7244
JPT	KHV	4595	7632
JPT	LWK	1829	5464
JPT	MSL	2704	6551
JPT	MXL	3426	6940
JPT	PEL	2730	6090
JPT	PJL	4150	7458
JPT	PUR	2553	5718
JPT	STU	4103	7460
JPT	TSI	4203	7850
JPT	YRI	2250	5906
KHV	ACB	2751	6531
KHV	ASW	2353	6150
KHV	BEB	4203	7619
KHV	CDX	5188	7968
KHV	CEU	4173	7904
KHV	CHB	4685	7868
KHV	CHS	5008	7834
KHV	CLM	3400	6958
KHV	ESN	2734	6846
KHV	FIN	3706	7459
KHV	GBR	4504	8345
KHV	GIH	4279	7827
KHV	GWD	2718	6511
KHV	IBS	4204	7930
KHV	ITU	4355	7926
KHV	JPT	4595	7632
KHV	KHV	8020	8020
KHV	LWK	1979	5852
KHV	MSL	2942	6939
KHV	MXL	3654	7328
KHV	PEL	2818	6478
KHV	PJL	4308	7846
KHV	PUR	2650	6106
KHV	STU	4301	7848
KHV	TSI	4479	8238
KHV	YRI	2457	6294
LWK	ACB	2249	4363
LWK	ASW	1828	3982
LWK	BEB	1927	5451
LWK	CDX	1961	5800
LWK	CEU	1879	5736
LWK	CHB	1712	5700
LWK	CHS	1827	5666
LWK	CLM	1766	4790
LWK	ESN	2323	4678
LWK	FIN	1697	5291
LWK	GBR	1981	6177
LWK	GIH	1952	5659
LWK	GWD	2247	4343
LWK	IBS	1885	5762
LWK	ITU	1930	5758
LWK	JPT	1829	5464
LWK	KHV	1979	5852
LWK	LWK	3684	3684
LWK	MSL	2349	4771
LWK	MXL	1712	5160
LWK	PEL	1471	4310
LWK	PJL	1940	5678
LWK	PUR	1526	3938
LWK	STU	1900	5680
LWK	TSI	1970	6070
LWK	YRI	2196	4126
MSL	ACB	3108	5450
MSL	ASW	2417	5069
MSL	BEB	2777	6538
MSL	CDX	2931	6887
MSL	CEU	2868	6823
MSL	CHB	2561	6787
MSL	CHS	2758	6753
MSL	CLM	2510	5877
MSL	ESN	3348	5765
MSL	FIN	2513	6378
MSL	GBR	3010	7264
MSL	GIH	2843	6746
MSL	GWD	3308	5430
MSL	IBS	2877	6849
MSL	ITU	2923	6845
MSL	JPT	2704	6551
MSL	KHV	2942	6939
MSL	LWK	2349	4771
MSL	MSL	5858	5858
MSL	MXL	2448	6247
MSL	PEL	2100	5397
MSL	PJL	2855	6765
MSL	PUR	2086	5025
MSL	STU	2830	6767
MSL	TSI	3004	7157
MSL	YRI	3070	5213
MXL	ACB	2368	5839
MXL	ASW	2139	5458
MXL	BEB	3633	6927
MXL	CDX	3568	7276
MXL	CEU	3852	7212
MXL	CHB	3347	7176
MXL	CHS	3490	7142
MXL	CLM	3394	6266
MXL	ESN	2300	6154
MXL	FIN	3529	6767
MXL	GBR	4066	7653
MXL	GIH	3750	7135
MXL	GWD	2323	5819
MXL	IBS	3923	7238
MXL	ITU	3779	7234
MXL	JPT	3426	6940
MXL	KHV	3654	7328
MXL	LWK	1712	5160
MXL	MSL	2448	6247
MXL	MXL	6636	6636
MXL	PEL	2998	5786
MXL	PJL	3840	7154
MXL	PUR	2616	5414
MXL	STU	3752	7156
MXL	TSI	4082	7546
MXL	YRI	2045	5602
PEL	ACB	1930	4989
PEL	ASW	1730	4608
PEL	BEB	2798	6077
PEL	CDX	2818	6426
PEL	CEU	2930	6362
PEL	CHB	2620	6326
PEL	CHS	2768	6292
PEL	CLM	2706	5416
PEL	ESN	1968	5304
PEL	FIN	2712	5917
PEL	GBR	3107	6803
PEL	GIH	2888	6285
PEL	GWD	1991	4969
PEL	IBS	2959	6388
PEL	ITU	2932	6384
PEL	JPT	2730	6090
PEL	KHV	2818	6478
PEL	LWK	1471	4310
PEL	MSL	2100	5397
PEL	MXL	2998	5786
PEL	PEL	4936	4936
PEL	PJL	2980	6304
PEL	PUR	2086	4564
PEL	STU	2901	6306
PEL	TSI	3040	6696
PEL	YRI	1782	4752
PJL	ACB	2684	6357
PJL	ASW	2445	5976
PJL	BEB	4737	7445
PJL	CDX	4318	7794
PJL	CEU	4613	7730
PJL	CHB	4024	7694
PJL	CHS	4151	7660
PJL	CLM	3686	6784
PJL	ESN	2708	6672
PJL	FIN	4153	7285
PJL	GBR	4899	8171
PJL	GIH	4907	7653
PJL	GWD	2698	6337
PJL	IBS	4575	7756
PJL	ITU	4969	7752
PJL	JPT	4150	7458
PJL	KHV	4308	7846
PJL	LWK	1940	5678
PJL	MSL	2855	6765
PJL	MXL	3840	7154
PJL	PEL	2980	6304
PJL	PJL	7672	7672
PJL	PUR	2869	5932
PJL	STU	4885	7674
PJL	TSI	4855	8064
PJL	YRI	2373	6120
PUR	ACB	2030	4617
PUR	ASW	1888	4236
PUR	BEB	2883	5705
PUR	CDX	2664	6054
PUR	CEU	2910	5990
PUR	CHB	2341	5954
PUR	CHS	2498	5920
PUR	CLM	2744	5044
PUR	ESN	1952	4932
PUR	FIN	2733	5545
PUR	GBR	3087	6431
PUR	GIH	2888	5913
PUR	GWD	2032	4597
PUR	IBS	2999	6016
PUR	ITU	2825	6012
PUR	JPT	2553	5718
PUR	KHV	2650	6106
PUR	LWK	1526	3938
PUR	MSL	2086	5025
PUR	MXL	2616	5414
PUR	PEL	2086	4564
PUR	PJL	2869	5932
PUR	PUR	4192	4192
PUR	STU	2780	5934
PUR	TSI	3044	6324
PUR	YRI	1803	4380
STU	ACB	2668	6359
STU	ASW	2305	5978
STU	BEB	4588	7447
STU	CDX	4217	7796
STU	CEU	4481	7732
STU	CHB	4037	7696
STU	CHS	4033	7662
STU	CLM	3570	6786
STU	ESN	2648	6674
STU	FIN	3911	7287
STU	GBR	4770	8173
STU	GIH	4795	7655
STU	GWD	2629	6339
STU	IBS	4462	7758
STU	ITU	4996	7754
STU	JPT	4103	7460
STU	KHV	4301	7848
STU	LWK	1900	5680
STU	MSL	2830	6767
STU	MXL	3752	7156
STU	PEL	2901	6306
STU	PJL	4885	7674
STU	PUR	2780	5934
STU	STU	7676	7676
STU	TSI	4727	8066
STU	YRI	2355	6122
TSI	ACB	2798	6749
TSI	ASW	2503	6368
TSI	BEB	4483	7837
TSI	CDX	4321	8186
TSI	CEU	5365	8122
TSI	CHB	4168	8086
TSI	CHS	4304	8052
TSI	CLM	3909	7176
TSI	ESN	2838	7064
TSI	FIN	4637	7677
TSI	GBR	5716	8563
TSI	GIH	4748	8045
TSI	GWD	2795	6729
TSI	IBS	5373	8148
TSI	ITU	4894	8144
TSI	JPT	4203	7850
TSI	KHV	4479	8238
TSI	LWK	1970	6070
TSI	MSL	3004	7157
TSI	MXL	4082	7546
TSI	PEL	3040	6696
TSI	PJL	4855	8064
TSI	PUR	3044	6324
TSI	STU	4727	8066
TSI	TSI	8456	8456
TSI	YRI	2507	6512
YRI	ACB	2823	4805
YRI	ASW	2195	4424
YRI	BEB	2356	5893
YRI	CDX	2444	6242
YRI	CEU	2363	6178
YRI	CHB	2115	6142
YRI	CHS	2298	6108
YRI	CLM	2103	5232
YRI	ESN	3128	5120
YRI	FIN	2145	5733
YRI	GBR	2496	6619
YRI	GIH	2394	6101
YRI	GWD	2801	4785
YRI	IBS	2400	6204
YRI	ITU	2431	6200
YRI	JPT	2250	5906
YRI	KHV	2457	6294
YRI	LWK	2196	4126
YRI	MSL	3070	5213
YRI	MXL	2045	5602
YRI	PEL	1782	4752
YRI	PJL	2373	6120
YRI	PUR	1803	4380
YRI	STU	2355	6122
YRI	TSI	2507	6512
YRI	YRI	4568	4568
