pop1	pop2	n.overlap	n.total
ACB	ACB	41404	41404
ACB	ASW	31595	39662
ACB	BEB	24891	37161
ACB	CDX	25651	38487
ACB	CEU	23626	36142
ACB	CHB	22790	36438
ACB	CHS	23906	36725
ACB	CLM	26883	38246
ACB	ESN	33712	41270
ACB	FIN	23025	35808
ACB	GBR	25521	38175
ACB	GIH	25339	37676
ACB	GWD	31272	39261
ACB	IBS	24977	37397
ACB	ITU	26092	38208
ACB	JPT	23502	36297
ACB	KHV	25901	38663
ACB	LWK	32283	40598
ACB	MSL	33575	41308
ACB	MXL	26533	38769
ACB	PEL	22968	35383
ACB	PJL	26138	38173
ACB	PUR	22404	34058
ACB	STU	26311	38363
ACB	TSI	25403	37906
ACB	YRI	31058	38406
ASW	ACB	31595	39662
ASW	ASW	37920	37920
ASW	BEB	23698	35419
ASW	CDX	24498	36745
ASW	CEU	22652	34400
ASW	CHB	21587	34696
ASW	CHS	22759	34983
ASW	CLM	25936	36504
ASW	ESN	30770	39528
ASW	FIN	22254	34066
ASW	GBR	24455	36433
ASW	GIH	24250	35934
ASW	GWD	28950	37519
ASW	IBS	23942	35655
ASW	ITU	24859	36466
ASW	JPT	22387	34555
ASW	KHV	24651	36921
ASW	LWK	30040	38856
ASW	MSL	30684	39566
ASW	MXL	25518	37027
ASW	PEL	22212	33641
ASW	PJL	24963	36431
ASW	PUR	21857	32316
ASW	STU	24983	36621
ASW	TSI	24247	36164
ASW	YRI	28602	36664
BEB	ACB	24891	37161
BEB	ASW	23698	35419
BEB	BEB	32918	32918
BEB	CDX	24362	34244
BEB	CEU	22983	31899
BEB	CHB	21235	32195
BEB	CHS	22616	32482
BEB	CLM	24969	34003
BEB	ESN	23885	37027
BEB	FIN	22679	31565
BEB	GBR	24835	33932
BEB	GIH	26286	33433
BEB	GWD	23190	35018
BEB	IBS	24077	33154
BEB	ITU	25925	33965
BEB	JPT	22505	32054
BEB	KHV	24372	34420
BEB	LWK	23678	36355
BEB	MSL	24185	37065
BEB	MXL	24852	34526
BEB	PEL	21398	31140
BEB	PJL	26507	33930
BEB	PUR	20829	29815
BEB	STU	26010	34120
BEB	TSI	24392	33663
BEB	YRI	22286	34163
CDX	ACB	25651	38487
CDX	ASW	24498	36745
CDX	BEB	24362	34244
CDX	CDX	35570	35570
CDX	CEU	22739	33225
CDX	CHB	24056	33521
CDX	CHS	25770	33808
CDX	CLM	24801	35329
CDX	ESN	24906	38353
CDX	FIN	22377	32891
CDX	GBR	24422	35258
CDX	GIH	24687	34759
CDX	GWD	23970	36344
CDX	IBS	23930	34480
CDX	ITU	25183	35291
CDX	JPT	24940	33380
CDX	KHV	28110	35746
CDX	LWK	24465	37681
CDX	MSL	25168	38391
CDX	MXL	25155	35852
CDX	PEL	21914	32466
CDX	PJL	25251	35256
CDX	PUR	20283	31141
CDX	STU	25352	35446
CDX	TSI	24164	34989
CDX	YRI	23081	35489
CEU	ACB	23626	36142
CEU	ASW	22652	34400
CEU	BEB	22983	31899
CEU	CDX	22739	33225
CEU	CEU	30880	30880
CEU	CHB	20899	31176
CEU	CHS	21867	31463
CEU	CLM	24542	32984
CEU	ESN	22645	36008
CEU	FIN	23924	30546
CEU	GBR	26547	32913
CEU	GIH	23861	32414
CEU	GWD	21682	33999
CEU	IBS	25503	32135
CEU	ITU	24692	32946
CEU	JPT	21542	31035
CEU	KHV	23149	33401
CEU	LWK	22345	35336
CEU	MSL	22981	36046
CEU	MXL	24607	33507
CEU	PEL	21176	30121
CEU	PJL	24767	32911
CEU	PUR	20002	28796
CEU	STU	24766	33101
CEU	TSI	25946	32644
CEU	YRI	21031	33144
CHB	ACB	22790	36438
CHB	ASW	21587	34696
CHB	BEB	21235	32195
CHB	CDX	24056	33521
CHB	CEU	20899	31176
CHB	CHB	31472	31472
CHB	CHS	23999	31759
CHB	CLM	22036	33280
CHB	ESN	22081	36304
CHB	FIN	20394	30842
CHB	GBR	22343	33209
CHB	GIH	21740	32710
CHB	GWD	20907	34295
CHB	IBS	21873	32431
CHB	ITU	22939	33242
CHB	JPT	22841	31331
CHB	KHV	25031	33697
CHB	LWK	21578	35632
CHB	MSL	22406	36342
CHB	MXL	22560	33803
CHB	PEL	19881	30417
CHB	PJL	22728	33207
CHB	PUR	17639	29092
CHB	STU	23143	33397
CHB	TSI	22225	32940
CHB	YRI	20344	33440
CHS	ACB	23906	36725
CHS	ASW	22759	34983
CHS	BEB	22616	32482
CHS	CDX	25770	33808
CHS	CEU	21867	31463
CHS	CHB	23999	31759
CHS	CHS	32046	32046
CHS	CLM	23182	33567
CHS	ESN	23138	36591
CHS	FIN	21387	31129
CHS	GBR	23315	33496
CHS	GIH	22911	32997
CHS	GWD	22092	34582
CHS	IBS	22807	32718
CHS	ITU	24037	33529
CHS	JPT	24096	31618
CHS	KHV	26388	33984
CHS	LWK	22770	35919
CHS	MSL	23495	36629
CHS	MXL	23659	34090
CHS	PEL	20821	30704
CHS	PJL	23845	33494
CHS	PUR	18779	29379
CHS	STU	24115	33684
CHS	TSI	23196	33227
CHS	YRI	21416	33727
CLM	ACB	26883	38246
CLM	ASW	25936	36504
CLM	BEB	24969	34003
CLM	CDX	24801	35329
CLM	CEU	24542	32984
CLM	CHB	22036	33280
CLM	CHS	23182	33567
CLM	CLM	35088	35088
CLM	ESN	25741	38112
CLM	FIN	24024	32650
CLM	GBR	26606	35017
CLM	GIH	25496	34518
CLM	GWD	24798	36103
CLM	IBS	26064	34239
CLM	ITU	26068	35050
CLM	JPT	22872	33139
CLM	KHV	24991	35505
CLM	LWK	25623	37440
CLM	MSL	26104	38150
CLM	MXL	27378	35611
CLM	PEL	23332	32225
CLM	PJL	26308	35015
CLM	PUR	22706	30900
CLM	STU	25988	35205
CLM	TSI	26160	34748
CLM	YRI	24039	35248
ESN	ACB	33712	41270
ESN	ASW	30770	39528
ESN	BEB	23885	37027
ESN	CDX	24906	38353
ESN	CEU	22645	36008
ESN	CHB	22081	36304
ESN	CHS	23138	36591
ESN	CLM	25741	38112
ESN	ESN	41136	41136
ESN	FIN	22115	35674
ESN	GBR	24426	38041
ESN	GIH	24382	37542
ESN	GWD	30890	39127
ESN	IBS	23911	37263
ESN	ITU	25182	38074
ESN	JPT	22711	36163
ESN	KHV	25161	38529
ESN	LWK	32032	40464
ESN	MSL	33218	41174
ESN	MXL	25464	38635
ESN	PEL	22209	35249
ESN	PJL	25142	38039
ESN	PUR	21607	33924
ESN	STU	25336	38229
ESN	TSI	24330	37772
ESN	YRI	31208	38272
FIN	ACB	23025	35808
FIN	ASW	22254	34066
FIN	BEB	22679	31565
FIN	CDX	22377	32891
FIN	CEU	23924	30546
FIN	CHB	20394	30842
FIN	CHS	21387	31129
FIN	CLM	24024	32650
FIN	ESN	22115	35674
FIN	FIN	30212	30212
FIN	GBR	25533	32579
FIN	GIH	23423	32080
FIN	GWD	21307	33665
FIN	IBS	24539	31801
FIN	ITU	24083	32612
FIN	JPT	21199	30701
FIN	KHV	22716	33067
FIN	LWK	21880	35002
FIN	MSL	22488	35712
FIN	MXL	24150	33173
FIN	PEL	20905	29787
FIN	PJL	24357	32577
FIN	PUR	19759	28462
FIN	STU	23992	32767
FIN	TSI	24836	32310
FIN	YRI	20625	32810
GBR	ACB	25521	38175
GBR	ASW	24455	36433
GBR	BEB	24835	33932
GBR	CDX	24422	35258
GBR	CEU	26547	32913
GBR	CHB	22343	33209
GBR	CHS	23315	33496
GBR	CLM	26606	35017
GBR	ESN	24426	38041
GBR	FIN	25533	32579
GBR	GBR	34946	34946
GBR	GIH	25809	34447
GBR	GWD	23297	36032
GBR	IBS	27452	34168
GBR	ITU	26536	34979
GBR	JPT	22965	33068
GBR	KHV	24862	35434
GBR	LWK	24064	37369
GBR	MSL	24783	38079
GBR	MXL	26735	35540
GBR	PEL	22603	32154
GBR	PJL	26868	34944
GBR	PUR	21374	30829
GBR	STU	26527	35134
GBR	TSI	27774	34677
GBR	YRI	22701	35177
GIH	ACB	25339	37676
GIH	ASW	24250	35934
GIH	BEB	26286	33433
GIH	CDX	24687	34759
GIH	CEU	23861	32414
GIH	CHB	21740	32710
GIH	CHS	22911	32997
GIH	CLM	25496	34518
GIH	ESN	24382	37542
GIH	FIN	23423	32080
GIH	GBR	25809	34447
GIH	GIH	33948	33948
GIH	GWD	23503	35533
GIH	IBS	25026	33669
GIH	ITU	26833	34480
GIH	JPT	22892	32569
GIH	KHV	24767	34935
GIH	LWK	24180	36870
GIH	MSL	24628	37580
GIH	MXL	25436	35041
GIH	PEL	21975	31655
GIH	PJL	27434	34445
GIH	PUR	21140	30330
GIH	STU	27006	34635
GIH	TSI	25440	34178
GIH	YRI	22734	34678
GWD	ACB	31272	39261
GWD	ASW	28950	37519
GWD	BEB	23190	35018
GWD	CDX	23970	36344
GWD	CEU	21682	33999
GWD	CHB	20907	34295
GWD	CHS	22092	34582
GWD	CLM	24798	36103
GWD	ESN	30890	39127
GWD	FIN	21307	33665
GWD	GBR	23297	36032
GWD	GIH	23503	35533
GWD	GWD	37118	37118
GWD	IBS	22873	35254
GWD	ITU	23986	36065
GWD	JPT	21754	34154
GWD	KHV	23896	36520
GWD	LWK	29965	38455
GWD	MSL	31388	39165
GWD	MXL	24304	36626
GWD	PEL	21322	33240
GWD	PJL	24086	36030
GWD	PUR	21130	31915
GWD	STU	24030	36220
GWD	TSI	23242	35763
GWD	YRI	28928	36263
IBS	ACB	24977	37397
IBS	ASW	23942	35655
IBS	BEB	24077	33154
IBS	CDX	23930	34480
IBS	CEU	25503	32135
IBS	CHB	21873	32431
IBS	CHS	22807	32718
IBS	CLM	26064	34239
IBS	ESN	23911	37263
IBS	FIN	24539	31801
IBS	GBR	27452	34168
IBS	GIH	25026	33669
IBS	GWD	22873	35254
IBS	IBS	33390	33390
IBS	ITU	26029	34201
IBS	JPT	22494	32290
IBS	KHV	24378	34656
IBS	LWK	23551	36591
IBS	MSL	24338	37301
IBS	MXL	26051	34762
IBS	PEL	22214	31376
IBS	PJL	26161	34166
IBS	PUR	20982	30051
IBS	STU	25990	34356
IBS	TSI	27300	33899
IBS	YRI	22112	34399
ITU	ACB	26092	38208
ITU	ASW	24859	36466
ITU	BEB	25925	33965
ITU	CDX	25183	35291
ITU	CEU	24692	32946
ITU	CHB	22939	33242
ITU	CHS	24037	33529
ITU	CLM	26068	35050
ITU	ESN	25182	38074
ITU	FIN	24083	32612
ITU	GBR	26536	34979
ITU	GIH	26833	34480
ITU	GWD	23986	36065
ITU	IBS	26029	34201
ITU	ITU	35012	35012
ITU	JPT	23695	33101
ITU	KHV	25721	35467
ITU	LWK	24700	37402
ITU	MSL	25421	38112
ITU	MXL	26205	35573
